sample	TMB	aSCNA	APOBEC	Clock_SBS1	Clock_SBS5	MMR	POLE	Tobacco	UV
0	72.59554981847715	0.32601574059567007	0	0	0	0	0	1	0
1	99.2993243680434	0.2727689845382658	0	0	0	0	0	0	0
2	54.02996360821394	0.6070204231381047	1	0	0	0	0	1	0
3	20.13108154019464	0.7619663984202837	0	1	0	1	1	0	0
4	27.245846487785673	0.20787111798990043	0	0	0	0	0	0	0
5	34.39012290588697	0.7896156959695732	1	0	0	1	1	1	0
6	53.89339563896688	0.35592099005412525	0	1	0	0	0	0	0
7	30.953860779611265	0.9586197362295542	0	1	0	0	1	0	0
8	78.09701467804884	0.7392057861472311	0	1	0	1	0	0	0
9	20.697700504612527	0.285469946579747	1	0	0	0	1	0	0
10	48.864332577318535	0.44973777760686995	0	0	1	0	0	1	0
11	72.4006062644748	0.30056763344526094	0	0	0	0	0	1	0
12	29.108631484900105	0.14927747965000726	0	1	0	0	0	0	0
13	39.19456530838284	0.1419658623651091	0	0	0	0	0	0	0
14	68.165631950075	0.10629301419060366	0	0	0	0	0	0	0
15	65.8621097625081	0.02964647997610559	0	1	1	0	0	0	0
16	90.24349593853148	0.6523017216218752	0	0	1	0	0	1	0
17	89.59219351487813	0.46834645474715286	1	0	0	0	0	0	1
18	14.545365290127222	0.15415016195036213	0	0	0	1	0	0	1
19	62.95537719132396	0.09382268381050107	0	0	0	0	0	0	0
20	23.620954336585253	0.23288437935291406	1	0	0	0	0	1	0
21	57.60842059242361	0.48286008819701665	0	0	0	1	0	0	0
22	47.9485140551495	0.18015289549608482	0	0	0	0	0	0	0
23	63.15209123874109	0.3181002899752813	0	0	0	0	0	0	1
24	6.768373511741843	0.7105059252883236	0	0	0	1	0	1	0
25	42.46040227909595	0.0394019582039018	0	0	0	0	1	0	0
26	66.05314760665124	0.6759350867484395	0	0	0	0	0	0	0
27	3.425210329303796	0.8462882636530069	0	0	0	0	0	0	0
28	11.858705189755526	0.7197425018332212	0	0	1	1	0	1	1
29	58.54951563694634	0.6546184665679614	0	0	0	0	1	0	0
30	56.629863660470036	0.4476507303537166	0	0	0	0	1	1	1
31	1.9676400532087412	0.9801731409360516	1	0	0	0	0	1	0
32	71.72209711816559	0.21258780720912007	1	1	0	0	1	0	0
33	59.04474950615288	0.5319089569361211	0	1	1	0	0	0	1
34	30.212964261303977	0.6487336809946153	1	1	0	1	0	0	0
35	57.93228394659984	0.09671883684556037	0	0	1	0	0	0	0
36	94.08592134614292	0.3073117756203635	0	0	0	0	0	1	0
37	83.1614825427804	0.87344692938328	1	0	0	0	0	0	0
38	18.682254291672173	0.9963949448643709	0	0	1	0	0	0	0
39	78.43221081830688	0.09480047169125849	1	1	0	1	0	0	0
40	99.52168872380314	0.3874060932325688	0	0	0	1	0	0	0
41	53.39548320583706	0.5915381936269679	0	1	1	0	0	0	0
42	5.942902860889543	0.9767795670052805	0	0	0	0	1	0	0
43	42.46308296865608	0.3557093521093009	1	0	0	0	0	0	0
44	80.99074748603589	0.21433982298174015	0	1	1	0	0	1	0
45	10.348711337354588	0.7167785973909765	1	1	0	0	0	0	0
46	74.93731983183476	0.12728365007172704	0	1	0	0	1	0	0
47	34.95787218103155	0.0984923880076084	0	0	1	0	0	0	1
48	71.28194094658805	0.2815478077036372	0	1	0	0	1	0	1
49	2.1737601793642147	0.32346875913846973	0	0	0	0	0	0	1
