sample	TMB	aSCNA	APOBEC	Clock_SBS1	Clock_SBS5	MMR	POLE	Tobacco	UV
0	80.02102909789001	0.0764606741852395	0	1	0	0	0	1	0
1	83.36777925202864	0.5892580644379217	1	0	1	0	0	0	1
2	16.610685169697557	0.013046049840642504	0	0	1	0	0	1	1
3	46.785239680350266	0.5369164348261639	1	0	0	0	1	0	0
4	86.332266797285	0.22358674791645494	0	1	0	0	1	0	1
5	56.89556739456053	0.5547531466246015	0	0	1	0	0	0	0
6	75.89461326323553	0.4788370143223999	0	0	0	0	0	0	0
7	28.760018536895014	0.06526909137743497	0	0	0	0	0	1	0
8	5.318335153374731	0.9515596593521988	1	0	0	0	0	0	1
9	32.72795604018619	0.8362305859781792	0	0	1	0	1	0	1
